SAMPLE_ID,LINE_NM,PROFILE,COUNT,PERCENTAGE
AG01,ANAG01,AAAABBBB,89,97.8021978021978
AG01,BRS CAUE,AABBAABB,0,0.0
AG01,BRS BRAU,BBAAAAAA,0,0.0
AG01,FAIL,FAIL,2,2.197802197802198
B001,ANAG01,AAAABBBB,0,0.0
B001,BRS CAUE,AABBAABB,0,0.0
B001,BRS BRAU,BBAAAAAA,90,98.9010989010989
B001,FAIL,FAIL,1,1.098901098901099
B002,ANAG01,AAAABBBB,0,0.0
B002,BRS CAUE,AABBAABB,0,0.0
B002,BRS BRAU,BBAAAAAA,89,97.8021978021978
B002,FAIL,FAIL,2,2.197802197802198
B003,ANAG01,AAAABBBB,0,0.0
B003,BRS CAUE,AABBAABB,0,0.0
B003,BRS BRAU,BBAAAAAA,87,95.6043956043956
B003,FAIL,FAIL,4,4.395604395604396
B004,ANAG01,AAAABBBB,0,0.0
B004,BRS CAUE,AABBAABB,0,0.0
B004,BRS BRAU,BBAAAAAA,88,96.7032967032967
B004,FAIL,FAIL,3,3.296703296703297
B005,ANAG01,AAAABBBB,0,0.0
B005,BRS CAUE,AABBAABB,0,0.0
B005,BRS BRAU,BBAAAAAA,87,95.6043956043956
B005,FAIL,FAIL,4,4.395604395604396
B006,ANAG01,AAAABBBB,0,0.0
B006,BRS CAUE,AABBAABB,0,0.0
B006,BRS BRAU,BBAAAAAA,87,95.6043956043956
B006,FAIL,FAIL,4,4.395604395604396
B007,ANAG01,AAAABBBB,0,0.0
B007,BRS CAUE,AABBAABB,0,0.0
B007,BRS BRAU,BBAAAAAA,89,97.8021978021978
B007,FAIL,FAIL,2,2.197802197802198
B008,ANAG01,AAAABBBB,0,0.0
B008,BRS CAUE,AABBAABB,0,0.0
B008,BRS BRAU,BBAAAAAA,116,95.08196721311475
B008,FAIL,FAIL,6,4.918032786885246
B009,ANAG01,AAAABBBB,0,0.0
B009,BRS CAUE,AABBAABB,0,0.0
B009,BRS BRAU,BBAAAAAA,84,92.3076923076923
B009,FAIL,FAIL,7,7.6923076923076925
C001,ANAG01,AAAABBBB,0,0.0
C001,BRS CAUE,AABBAABB,88,96.7032967032967
C001,BRS BRAU,BBAAAAAA,0,0.0
C001,FAIL,FAIL,3,3.296703296703297
C002,ANAG01,AAAABBBB,0,0.0
C002,BRS CAUE,AABBAABB,89,97.8021978021978
C002,BRS BRAU,BBAAAAAA,0,0.0
C002,FAIL,FAIL,2,2.197802197802198
C003,ANAG01,AAAABBBB,0,0.0
C003,BRS CAUE,AABBAABB,86,94.5054945054945
C003,BRS BRAU,BBAAAAAA,0,0.0
C003,FAIL,FAIL,5,5.4945054945054945
C004,ANAG01,AAAABBBB,0,0.0
C004,BRS CAUE,AABBAABB,76,83.51648351648352
C004,BRS BRAU,BBAAAAAA,0,0.0
C004,FAIL,FAIL,15,16.483516483516482
C005,ANAG01,AAAABBBB,0,0.0
C005,BRS CAUE,AABBAABB,80,80.8080808080808
C005,BRS BRAU,BBAAAAAA,0,0.0
C005,FAIL,FAIL,19,19.19191919191919
C006,ANAG01,AAAABBBB,0,0.0
C006,BRS CAUE,AABBAABB,84,86.5979381443299
C006,BRS BRAU,BBAAAAAA,0,0.0
C006,FAIL,FAIL,13,13.402061855670103
C007,ANAG01,AAAABBBB,0,0.0
C007,BRS CAUE,AABBAABB,77,77.77777777777779
C007,BRS BRAU,BBAAAAAA,0,0.0
C007,FAIL,FAIL,22,22.22222222222222
C008,ANAG01,AAAABBBB,0,0.0
C008,BRS CAUE,AABBAABB,87,87.87878787878788
C008,BRS BRAU,BBAAAAAA,0,0.0
C008,FAIL,FAIL,12,12.121212121212121
C009,ANAG01,AAAABBBB,0,0.0
C009,BRS CAUE,AABBAABB,78,85.71428571428571
C009,BRS BRAU,BBAAAAAA,0,0.0
C009,FAIL,FAIL,13,14.285714285714285
C010,ANAG01,AAAABBBB,0,0.0
C010,BRS CAUE,AABBAABB,89,97.8021978021978
C010,BRS BRAU,BBAAAAAA,0,0.0
C010,FAIL,FAIL,2,2.197802197802198
C011,ANAG01,AAAABBBB,0,0.0
C011,BRS CAUE,AABBAABB,90,98.9010989010989
C011,BRS BRAU,BBAAAAAA,0,0.0
C011,FAIL,FAIL,1,1.098901098901099
C012,ANAG01,AAAABBBB,0,0.0
C012,BRS CAUE,AABBAABB,89,97.8021978021978
C012,BRS BRAU,BBAAAAAA,0,0.0
C012,FAIL,FAIL,2,2.197802197802198
C013,ANAG01,AAAABBBB,0,0.0
C013,BRS CAUE,AABBAABB,89,100.0
C013,BRS BRAU,BBAAAAAA,0,0.0
C013,FAIL,FAIL,0,0.0
